Id,Neighborhood,lat,lon,SalePrice,price
1,CollgCr,42.018719506964324,-93.66912954681807,208500,5.319106059309776
2,Veenker,42.04264513344692,-93.64089533065898,181500,5.258876629372131
3,CollgCr,42.02087910544811,-93.66464312586552,223500,5.349277527467955
4,Crawfor,42.01042384944936,-93.59228586802567,140000,5.146128035678238
5,NoRidge,42.04877307427907,-93.65518673856789,250000,5.3979400086720375
6,Mitchel,41.991776901157586,-93.60542517367894,143000,5.155336037465061
7,Somerst,42.04803703091267,-93.645801074248,307000,5.487138375477186
8,NWAmes,42.04142058941911,-93.62881073607564,200000,5.301029995663981
9,OldTown,42.03432433731565,-93.6177049608705,129900,5.113609151073028
10,BrkSide,42.029678898251184,-93.62569147051171,118000,5.071882007306125
11,Sawyer,42.031056239894774,-93.67647084640757,129500,5.112269768417271
12,NridgHt,42.05986017428202,-93.64532494797092,345000,5.537819095073274
13,Sawyer,42.03368361432948,-93.67246247282182,144000,5.158362492095249
14,CollgCr,42.020349390582616,-93.67082800130058,279500,5.446381812222442
15,NAmes,42.04155391018346,-93.62259424940964,157000,5.195899652409234
16,BrkSide,42.02929740056727,-93.62478011557371,132000,5.12057393120585
17,NAmes,42.04320256713244,-93.61490130349293,149000,5.173186268412274
18,Sawyer,42.035327572551296,-93.67107547418549,90000,4.954242509439325
19,SawyerW,42.03223190994364,-93.68156133169109,159000,5.201397124320452
20,NAmes,42.04310486055164,-93.61979035804337,139000,5.143014800254095
21,NridgHt,42.05864243130865,-93.64548645049918,325300,5.512284063281854
22,IDOTRR,42.02198195989718,-93.62180626965537,139400,5.144262773761991
23,CollgCr,42.02160068782487,-93.66375159204459,230000,5.361727836017593
24,MeadowV,41.99091387544213,-93.60390771343856,129900,5.113609151073028
25,Sawyer,42.03056722230318,-93.67228109642724,154000,5.187520720836463
26,NridgHt,42.06307793406913,-93.66197167025247,256300,5.408748606184244
27,NAmes,42.04675038575078,-93.62206129012931,134800,5.129689892199301
28,NridgHt,42.05787541525517,-93.65551909785576,306000,5.48572142648158
29,NAmes,42.03956058052236,-93.62033285430098,207500,5.317018101048111
30,BrkSide,42.03246669425684,-93.62817805197089,68500,4.835690571492425
31,IDOTRR,42.02054295468161,-93.62607137834128,40000,4.6020599913279625
32,Sawyer,42.03219863415252,-93.66944888487859,149350,5.174205226940147
33,CollgCr,42.02064713653833,-93.66031041670017,179900,5.255031163345551
34,NAmes,42.0456697612158,-93.61731634330654,165500,5.218797998111738
35,NridgHt,42.06537321559826,-93.65363027310431,277500,5.443262987458695
36,NridgHt,42.05988775646215,-93.64922734412073,309000,5.489958479424835
37,CollgCr,42.02156024136546,-93.66584708858959,145000,5.161368002234975
38,NAmes,42.04238696914678,-93.62083473534429,153000,5.184691430817598
39,NAmes,42.040870115570144,-93.61881124385656,109000,5.037426497940624
40,Edwards,42.02295343222781,-93.66138841735143,82000,4.913813852383717
